ips_id,nombre,tipo,nivel_atencion,lat,lng,comuna,direccion,municipio,departamento,habilitada,capacidad_camas,telefono,email,fhir_location_id,codigo_habilitacion,nit,naturaleza,ese
ips-395811,CENTRO DE SALUD AGUA BLANCA,CENTRO_SALUD,2,3.412832,-76.49276,,CALLE 26A # 25-46,Santiago de Cali,Valle del Cauca,True,27,4851717 EXT 1026 -1005 celular 3157315830,evaluacionymejora@saludcentro.gov.co,Location/ips-395811,760010395811,805027261,Pública,SI
ips-395814,CENTRO DE SALUD PANAMERICANO,CENTRO_SALUD,2,3.447196,-76.539029,,CALLE 13 CRA 46A,Santiago de Cali,Valle del Cauca,True,34,4851717 EXT 1026 -1005 celular 3157315830,evaluacionymejora@saludcentro.gov.co,Location/ips-395814,760010395814,805027261,Pública,SI
ips-395815,CENTRO DE SALUD ALFONSO YOUNG VALERO,CENTRO_SALUD,2,3.46776,-76.542838,,CALLE 23 CRA 43,Santiago de Cali,Valle del Cauca,True,11,4851717 EXT 1026 -1005 celular 3157315830,evaluacionymejora@saludcentro.gov.co,Location/ips-395815,760010395815,805027261,Pública,SI
ips-395818,CENTRO DE SALUD RAMIRO GUERRERO,CENTRO_SALUD,2,3.474404,-76.508588,,Carrera 23 No. 10-15,Santiago de Cali,Valle del Cauca,True,12,4851717 EXT 1026 -1005 celular 3157315830,evaluacionymejora@saludcentro.gov.co,Location/ips-395818,760010395818,805027261,Pública,SI
ips-395819,Centro de Salud Santiago Rengifo,CENTRO_SALUD,2,3.426879,-76.506771,,Carrera 26 No 50-12,Santiago de Cali,Valle del Cauca,True,38,4851717 exte 1026 -1005 CELULAR 3157315830,evaluacionymejora@saludcentro.gov.co,Location/ips-395819,760010395819,805027261,Pública,SI
ips-395820,CENTRO DE SALUD CRISTOBAL COLON,CENTRO_SALUD,2,3.398487,-76.524598,,CALLE 15 NO. 33-69,Santiago de Cali,Valle del Cauca,True,25,4851717 EXT 1026 -1005 celular 3157315830,evaluacionymejora@saludcentro.gov.co,Location/ips-395820,760010395820,805027261,Pública,SI
ips-395821,CENTRO DE SALUD OBRERO,CENTRO_SALUD,2,3.463956,-76.515418,,CALLE 23 No 11B -47,Santiago de Cali,Valle del Cauca,True,24,4851717 exte 1026 -1005 CELULAR 3157315830,evaluacionymejora@saludcentro.gov.co,Location/ips-395821,760010395821,805027261,Pública,SI
ips-395901,E.S.E. RED DE SALUD DE LADERA EMPRESA SOCIAL DEL ESTADO HOSPITAL CAÑAVERALEJO,HOSPITAL,3,3.414286,-76.560766,,CALLE 3 OESTE # 12A-20,Santiago de Cali,Valle del Cauca,True,163,6080124,ventanillaunica@saludladera.gov.co,Location/ips-395901,760010395901,805027289,Pública,SI
ips-395906,CENTRO DE SALUD SILOE,CENTRO_SALUD,2,3.43239,-76.522119,,CALLE 1 # 50-51,Santiago de Cali,Valle del Cauca,True,23,6080124,ventanillaunica@saludladera.gov.co,Location/ips-395906,760010395906,805027289,Pública,SI
ips-395907,CENTRO DE SALUD TERRON COLORADO,CENTRO_SALUD,2,3.497739,-76.540048,,AV 4A Oeste # 18 Oeste - 69,Santiago de Cali,Valle del Cauca,True,17,8942340,ventanillaunica@saludladera.gov.co,Location/ips-395907,760010395907,805027289,Pública,SI
ips-395913,CENTRO DE SALUD MELENDEZ,CENTRO_SALUD,2,3.369957,-76.550787,,KR 94 # 4C-65,Santiago de Cali,Valle del Cauca,True,25,3319565,ventanillaunica@saludladera.gov.co,Location/ips-395913,760010395913,805027289,Pública,SI
ips-395921,CENTRO DE SALUD PRIMERO DE MAYO,CENTRO_SALUD,2,3.400909,-76.568231,,CRA 56 # 13G-10,Santiago de Cali,Valle del Cauca,True,13,3309217,ventanillaunica@saludladera.gov.co,Location/ips-395921,760010395921,805027289,Pública,SI
ips-492001,E.S.E. HOSPITAL GERIATRICO ANCIANATO SAN MIGUEL,HOSPITAL,3,3.408341,-76.559201,,KR 70 # 2A - 04,Santiago de Cali,Valle del Cauca,True,194,923390821,ancianatosanmiguel@gmail.com,Location/ips-492001,760010492001,890303448,Pública,SI
ips-511501,HOSPITAL ISAIAS DUARTE CANCINO EMPRESA SOCIAL DEL ESTADO,HOSPITAL,3,3.338555,-76.559084,,CL 96 # 28 -E3 - 01,Santiago de Cali,Valle del Cauca,True,117,4140707,calidad@hospitalidc-valle.gov.co,Location/ips-511501,760010511501,805028530,Pública,SI
ips-252307,Puesto Salud Unión Vivienda Popular,IPS,2,3.457671,-76.52952,,Carrera 41B Nº 45-100,Santiago de Cali,Valle del Cauca,True,18,3377123,gerencia@esesuroriente.gov.co,Location/ips-252307,760010252307,805027338,Pública,SI
ips-360902,CENTRO DE REHABILITACION EN SALUD MENTAL - CRESM,IPS,2,3.487686,-76.48,,CARRERA 3 OESTE No 11-49,Santiago de Cali,Valle del Cauca,True,10,N/A,ventanillaunica@psiquiatricocali.gov.co,Location/ips-360902,760010360902,890304155,Pública,SI
ips-395603,PUESTO DE SALUD ALFONSO LOPEZ III,IPS,2,3.51,-76.547418,,CALLE 74 CARRERA 7 M BIS,Santiago de Cali,Valle del Cauca,True,38,4884646 EXTENSIÓN 110-111-112,agutierrez@esenorte.gov.co,Location/ips-395603,760010395603,805027287,Pública,SI
ips-395604,PUESTO DE SALUD 7 DE AGOSTO,IPS,2,3.51,-76.541327,,CRA 11B CALLE 72 ESQUINA,Santiago de Cali,Valle del Cauca,True,30,4884646 EXTENSION 110-111-112,agutierrez@esenorte.gov.co,Location/ips-395604,760010395604,805027287,Pública,SI
ips-395605,PUESTO DE SALUD LAS CEIBAS,IPS,2,3.51,-76.54026,,CALLE 65 CARRERA 7 D BIS,Santiago de Cali,Valle del Cauca,True,15,4884666 EXTENSION 504,agutierrez@esenorte.gov.co,Location/ips-395605,760010395605,805027287,Pública,SI
ips-395607,PUESTO DE SALUD LA CAMPIÑA,IPS,2,3.47926,-76.507739,,AV 9 N CALLE 47 NORTE,Santiago de Cali,Valle del Cauca,True,38,4884646 EXTENSIÓN 110-111-112,agutierrez@esenorte.gov.co,Location/ips-395607,760010395607,805027287,Pública,SI
ips-395608,PUESTO DE SALUD POPULAR,IPS,2,3.483515,-76.50745,,CALLE 2A NORTE # 45AN-77,Santiago de Cali,Valle del Cauca,True,34,4884646 EXTENSIÓN 110-112-111,agutierrez@esenorte.gov.co,Location/ips-395608,760010395608,805027287,Pública,SI
