ips_id,nombre,tipo,nivel_atencion,lat,lng,comuna,direccion,municipio,departamento,habilitada,capacidad_camas,telefono,email,fhir_location_id
ips-blt-031,Hospital Bello Horizonte,HOSPITAL,1,3.4812,-76.5212,6,Calle 68 # 22-34,Santiago de Cali,Valle del Cauca,True,120,57 329 910 45 90,info@ipsblt031.gov.co,Location/ips-blt-031
ips-esq-032,Centro de Salud Esquina del Futuro,CENTRO_SALUD,1,3.3651,-76.5312,21,Cra 45 # 70-23,Santiago de Cali,Valle del Cauca,True,37,+573006479949,info@ipsesq032.gov.co,Location/ips-esq-032
ips-com-033,IPS Comfandi Norte,IPS_EPS,2,3.4751,-76.5121,6,Calle 72N # 12-35,Santiago de Cali,Valle del Cauca,True,57,+57 309 880 24 29,info@ipscom033.gov.co,Location/ips-com-033
ips-cof-034,IPS Comfamiliar del Valle,IPS_EPS,2,3.4412,-76.5512,18,Cra 82 # 10-45,Santiago de Cali,Valle del Cauca,True,51,3044673759,info@ipscof034.gov.co,Location/ips-cof-034
ips-snu-035,Clínica Nueva,CLINICA,2,3.4512,-76.5198,2,Cra 8 # 66-46,Santiago de Cali,Valle del Cauca,True,75,57 313 518 59 13,info@ipssnu035.gov.co,Location/ips-snu-035
ips-pmd-036,Punto Médico Desepaz,CENTRO_SALUD,1,3.3812,-76.4951,21,Cra 32 # 72-12,Santiago de Cali,Valle del Cauca,True,19,+573263127868,info@ipspmd036.gov.co,Location/ips-pmd-036
ips-crb-037,Clínica Rafael Uribe Uribe,CLINICA,2,3.4212,-76.5101,13,Cra 19 # 24-28,Santiago de Cali,Valle del Cauca,True,67,573120002665,info@ipscrb037.gov.co,Location/ips-crb-037
ips-cnr-038,Centro de Salud Normandía,CENTRO_SALUD,1,3.5101,-76.5021,1,Cra 10 # 90-34,Santiago de Cali,Valle del Cauca,True,45,57 324 587 73 36,info@ipscnr038.gov.co,Location/ips-cnr-038
ips-vip-039,Hospital Vista Hermosa,HOSPITAL,1,3.4151,-76.5551,18,Cra 76 # 9-23,Santiago de Cali,Valle del Cauca,True,166,(+57)3042658422,info@ipsvip039.gov.co,Location/ips-vip-039
ips-cps-040,Clínica Corpas Salud,CLINICA,2,3.4621,-76.5301,3,Calle 52 # 30-12,Santiago de Cali,Valle del Cauca,True,53,6045842181,info@ipscps040.gov.co,Location/ips-cps-040
ips-sga-041,Centro de Salud San Cayetano,CENTRO_SALUD,1,3.4351,-76.5321,9,Calle 10 # 32-15,Santiago de Cali,Valle del Cauca,True,17,573273737943,info@ipssga041.gov.co,Location/ips-sga-041
ips-dpv-042,Clínica del Pacífico,CLINICA,2,3.4501,-76.5401,19,Cra 38 # 6-45,Santiago de Cali,Valle del Cauca,True,88,57 602 797 26 38,info@ipsdpv042.gov.co,Location/ips-dpv-042
ips-med-043,Mediláser Cali Sur,IPS_EPS,2,3.3951,-76.5351,16,Cra 40 # 60-23,Santiago de Cali,Valle del Cauca,True,36,(+57)6017928621,info@ipsmed043.gov.co,Location/ips-med-043
ips-snc-044,Centro de Salud Siete de Agosto,CENTRO_SALUD,1,3.4851,-76.5151,6,Calle 70 # 18-45,Santiago de Cali,Valle del Cauca,True,26,+57 305 234 24 66,info@ipssnc044.gov.co,Location/ips-snc-044
ips-cob-045,Clínica Obregón,CLINICA,2,3.4421,-76.5261,9,Cra 29 # 8-34,Santiago de Cali,Valle del Cauca,True,84,(+57) 326 183 60 71,info@ipscob045.gov.co,Location/ips-cob-045
